Unique_ID,S3,S3_order,Taxa,Species,x_g,y_g,logx_g,logy_g,Reference,Group,Order,Family,Genus,Replicate,Notes
298,24,26,Mammal,Leopardus tigrinus,2100,651,3.322219295,2.813580989,Pereira and Daily 2006,Eutherian,Carnivora,Felidae,Leopardus,0,
299,24,26,Mammal,Leopardus wiedii,3800,836,3.579783597,2.922206277,Pereira and Daily 2006,Eutherian,Carnivora,Felidae,Leopardus,0,
300,24,26,Mammal,Leptailurus serval,11000,5468.20395,4.041392685,3.737844704,This Study,Eutherian,Carnivora,Felidae,Leptailurus,0,
301,24,26,Mammal,Leptonychotes weddellii,427759.8315,85551.9663,5.6312,4.932229996,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Phocidae,Leptonychotes,0,
302,24,26,Mammal,Lontra canadensis,4600,3809.310556,3.662757832,3.58084638,Ernest et al. 2003,Eutherian,Carnivora,Mustelidae,Lontra,0,
303,24,26,Mammal,Lutra longicaudis,5000,1750,3.698970004,3.243038049,Pereira and Daily 2006,Eutherian,Carnivora,Mustelidae,Lutra,0,
304,24,26,Mammal,Lynx canadensis,8590,2233.4,3.933993164,3.348966512,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Felidae,Lynx,0
305,24,26,Mammal,Martes pennanti,2375,760,3.375663614,2.880813592,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Mustelidae,Martes,0
306,24,26,Mammal,Meles meles,11282.36122,5077.062549,4.0524,3.705612514,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Mustelidae,Meles,0
307,24,26,Mammal,Mephitis macroura,1200,1452,3.079181246,3.161966616,Pereira and Daily 2006,Eutherian,Carnivora,Mustelidae,Mephitis,0
308,24,26,Mammal,Mephitis mephitis,1886.666667,3202.27544,3.275695176,3.505458685,Ernest et al. 2003,Eutherian,Carnivora,Mustelidae,Mephitis,0
309,24,26,Mammal,Mirounga sp.,668833,441429.78,5.825317693,5.644861628,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Phocidae,Mirounga,0
310,24,26,Mammal,Neophoca cinerea,79633.33333,27713.11304,4.901094895,4.442685313,Ernest et al. 2003,Eutherian,Carnivora,Otariidae,Neophoca,0
311,24,26,Mammal,Nyctereutes procyonoides,4040,7804.15625,3.606381365,3.892325956,Ernest et al. 2003,Eutherian,Carnivora,Canidae,Nyctereutes,0
312,24,26,Mammal,Otaria byronia,142003.8111,26980.72411,5.1523,4.431053601,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Otariidae,Otaria,0
313,24,26,Mammal,Pagophilus groenlandicus,180000,138600,5.255272505,5.14176323,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Phocidae,Pagophilus,0
314,24,26,Mammal,Parahyaena brunnea,60200,24622.325,4.779596491,4.391329059,Ernest et al. 2003,Eutherian,Carnivora,Hyaenidae,Parahyaena,0
315,24,26,Mammal,Phoca caspica,68770.15449,12378.62781,4.8374,4.092672505,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Phocidae,Phoca,0
316,24,26,Mammal,Phoca largha,89433.45319,17886.69064,4.9515,4.252529996,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Phocidae,Phoca,0
317,24,26,Mammal,Phoca sibirica,90000,67569,4.954242509,4.829747492,Ernest et al. 2003,Eutherian,Carnivora,Phocidae,Phoca,0
318,24,26,Mammal,Poecilogale albinucha,256.6666667,137.5,2.40936947,2.138302698,Ernest et al. 2003,Eutherian,Carnivora,Mustelidae,Poecilogale,0
319,24,26,Mammal,Procyon cancrivorus,5000,2850,3.698970004,3.45484486,Pereira and Daily 2006,Eutherian,Carnivora,Procyonidae,Procyon,0
320,24,26,Mammal,Procyon pygmaeus,2200,1628,3.342422681,3.211654401,Pereira and Daily 2006,Eutherian,Carnivora,Procyonidae,Procyon,0,
321,24,26,Mammal,Proteles cristatus,8500,4355.44114,3.929418926,3.639032149,This Study,Eutherian,Carnivora,Hyaenidae,Proteles,0,
322,24,26,Mammal,Pteronura brasiliensis,24000,6000,4.380211242,3.77815125,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Mustelidae,Pteronura,0,
323,24,26,Mammal,Speothos venaticus,6000,6240,3.77815125,3.79518459,Pereira and Daily 2006,Eutherian,Carnivora,Canidae,Speothos,0,
324,24,26,Mammal,Suricata suricatta,769.6666667,774.1736111,2.886302678,2.888838364,Ernest et al. 2003,Eutherian,Carnivora,Herpestidae,Suricata,0,
325,24,26,Mammal,Uncia uncia,44166.66667,16328.57143,4.645094624,4.21294819,Ernest et al. 2003,Eutherian,Carnivora,Felidae,Uncia,0,
326,24,26,Mammal,Ursus ursinus,100000,13181.968,5,4.119980253,This Study,Eutherian,Carnivora,Ursidae,Ursus,0,
327,24,26,Mammal,Vulpes lagopus,5200,2548,3.716003344,3.406199424,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Carnivora,Canidae,Vulpes,0,
328,24,26,Mammal,Vulpes velox,2073.003331,1658.402665,3.3166,3.219689987,"Dennis and Otten 2000; after Duncan et al. 2007, method: count",Eutherian,Carnivora,Canidae,Vulpes,0,
329,24,26,Mammal,Vulpes zerda,1152.391377,1163.915291,3.0616,3.065921374,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Carnivora,Canidae,Vulpes,0,
330,24,26,Mammal,Zalophus californianus,79689.29781,5737.629442,4.9014,3.758732496,"Eberhardt 1987; after Duncan et al. 2007, method: count",Eutherian,Carnivora,Otariidae,Zalophus,0,
331,24,27,Mammal,Balaenoptera musculus,149485820.7,9417606.704,8.1746,6.97394055,"Baskin 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenopteridae,Balaenoptera,3,
332,24,27,Mammal,Balaenoptera musculus,149485820.7,7623776.856,8.1746,6.882170176,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenopteridae,Balaenoptera,3,
333,24,27,Mammal,Balaenoptera musculus,190000000,13258150.54,8.278753601,7.122482946,Ernest et al. 2003,Eutherian,Cetacea,Balaenopteridae,Balaenoptera,2,
334,24,27,Mammal,Stenella attenuata,64209.60526,3852.576316,4.8076,3.58575125,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Stenella,2,
335,24,27,Mammal,Stenella attenuata,112500,2250,5.051152522,3.352182518,From Global Population Dynamics Database (From Fagan et. al. 2001; reporting rmax),Eutherian,Cetacea,Delphinidae,Stenella,2,
336,24,27,Mammal,Balaena mysticetus,69278743.13,2355477.266,7.8406,6.372078917,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenidae,Balaena,0,"Body mass: 10^x, mass in g, then log10(x/1000) --> log10 in kg; 10^x for rmax; *mass for production"
337,24,27,Mammal,Balaenoptera acutorostrata,9896918.639,1286599.423,6.9955,6.109443352,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Balaenopteridae,Balaenoptera,0,
338,24,27,Mammal,Balaenoptera borealis,14057238.07,1546296.188,7.1479,6.189292685,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Balaenopteridae,Balaenoptera,0,
339,24,27,Mammal,Balaenoptera physalus,48239189.24,5306310.816,7.6834,6.724792685,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Balaenopteridae,Balaenoptera,0,
340,24,27,Mammal,Berardius bairdii,8590135.215,601309.4651,6.934,5.77909804,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Ziphiidae,Berardius,0,
341,24,27,Mammal,Delphinapterus leucas,515822.1651,41265.77321,5.7125,4.615589987,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Monodontidae,Delphinapterus,0,
342,24,27,Mammal,Delphinus delphis,80000,22429.90654,4.903089987,4.350827464,Ernest et al. 2003,Eutherian,Cetacea,Delphinidae,Delphinus,0,
343,24,27,Mammal,Eschrichtius robustus,27422055.15,1837277.695,7.4381,6.264174803,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Eschrichtiidae,Eschrichtius,0,
344,24,27,Mammal,Eubalaena glacialis,33915638.69,2475841.624,7.5304,6.39372286,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenidae,Eubalaena,0,
345,24,27,Mammal,Globicephala melas,1055115.493,94960.39437,6.0233,4.97754251,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Globicephala,0,
346,24,27,Mammal,Lagenorhynchus acutus,170647.5274,8532.37637,5.2321,3.931070004,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Lagenorhynchus,0,
347,24,27,Mammal,Megaptera novaeangliae,42432634.84,4115965.579,7.6277,6.614471734,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenopteridae,Megaptera,3,
348,24,27,Mammal,Megaptera novaeangliae,42432634.84,3988667.675,7.6277,6.600827854,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenopteridae,Megaptera,3,
349,24,27,Mammal,Megaptera novaeangliae,42432634.84,3734071.866,7.6277,6.572182672,"Best 1993; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Balaenopteridae,Megaptera,3,
350,24,27,Mammal,Monodon monoceros,899911.9109,71992.95287,5.9542,4.857289987,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Monodontidae,Monodon,0,
351,24,27,Mammal,Neophocaena phocaenoides,32500,14000,4.511883361,4.146128036,Ernest et al. 2003,Eutherian,Cetacea,Phoceonidae,Neophocaena,0,
352,24,27,Mammal,Orcinus orca,3591699.548,165218.1792,6.5553,5.218057832,"Olesiuk et al. 1990; after Duncan et al. 2007, method: count",Eutherian,Cetacea,Delphinidae,Orcinus,0,
353,24,27,Mammal,Phocoena phocoena,46698.18486,6070.764032,4.6693,3.783243352,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Phocoenidae,Phocoena,0,
354,24,27,Mammal,Phocoenoides dalli,111814.9825,7827.048775,5.0485,3.89359804,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Phocoenidae,Phocoenoides,0,
355,24,27,Mammal,Physeter catodon,17550924.58,1579583.212,7.2443,6.198542509,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Physeteridae,Physeter,0,
356,24,27,Mammal,Pontoporia blainvillei,37033.94694,4444.073633,4.5686,3.647781246,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Platanistidae,Pontoporia,0,
357,24,27,Mammal,Stenella coeruleoalba,110891.9448,9980.275032,5.0449,3.99914251,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Stenella,0,
358,24,27,Mammal,Stenella longirostris,53039.57067,3712.769947,4.7246,3.56969804,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Stenella,0,
359,24,27,Mammal,Tursiops truncatus,166916.7807,33383.35614,5.2225,4.523529996,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Tursiops,2,
360,24,27,Mammal,Tursiops truncatus,166916.7807,21699.18149,5.2225,4.336443352,"Schmitz and Lavigne 1984; after Duncan et al. 2007, method: Cole 1954",Eutherian,Cetacea,Delphinidae,Tursiops,2,
361,24,28,Mammal,Pteropus poliocephalus,599.3768983,239.7507593,2.7777,2.379759991,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Chiroptera,Pteropodidae,Pteropus,2,
362,24,28,Mammal,Pteropus poliocephalus,750,750,2.875061263,2.875061263,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,2,
363,24,28,Mammal,Rhinolophus megaphyllus,11.00018528,12.65021307,1.0414,1.102097841,"Young 2001; after Duncan et al. 2007, method: count",Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,2,
364,24,28,Mammal,Rhinolophus megaphyllus,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,2,
365,24,28,Mammal,Anoura geoffroyi,15,15,1.176091259,1.176091259,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Anoura,0,
366,24,28,Mammal,Balantiopteryx plicata,6,6,0.77815125,0.77815125,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Balantiopteryx,0,
367,24,28,Mammal,Carollia perspicillata,19,38.38,1.278753601,1.58410497,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Carollia,0,
368,24,28,Mammal,Chaerephon pumila,11,33,1.041392685,1.51851394,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Chaerephon,0
369,24,28,Mammal,Cynopterus brachyotis,32,64,1.505149978,1.806179974,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Cynopterus,0
370,24,28,Mammal,Cynopterus sphinx,44,88,1.643452676,1.944482672,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Cynopterus,0
371,24,28,Mammal,Dobsonia moluccensis,381,381,2.580924976,2.580924976,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Dobsonia,0
372,24,28,Mammal,Eidolon helvum,253,253,2.403120521,2.403120521,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Eidolon,0
373,24,28,Mammal,Eonycteris spelaea,57,114,1.755874856,2.056904851,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Eonycteris,0
374,24,28,Mammal,Eptesicus fuscus,16,30.08,1.204119983,1.478277832,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,0
375,24,28,Mammal,Eptesicus regulus,5,5,0.698970004,0.698970004,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,0
376,24,28,Mammal,Eptesicus serotinus,23,23,1.361727836,1.361727836,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Eptesicus,0
377,24,28,Mammal,Glossophaga soricina,8,20,0.903089987,1.301029996,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Glossophaga,0
378,24,28,Mammal,Haplonycteris fischeri,18,18,1.255272505,1.255272505,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Haplonycteris,0
379,24,28,Mammal,Hipposideros caffer,9,9,0.954242509,0.954242509,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,0
380,24,28,Mammal,Hipposideros commersoni,99,99,1.995635195,1.995635195,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,0
381,24,28,Mammal,Hipposideros cyclops,34,34,1.531478917,1.531478917,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,0
382,24,28,Mammal,Hipposideros lankadiva,52,52,1.716003344,1.716003344,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Hipposideros,0
383,24,28,Mammal,Lasionycteris noctivagans,8,17.95,0.903089987,1.254064453,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasionycteris,0
384,24,28,Mammal,Lasiurus borealis,11,28.58166667,1.041392685,1.45608755,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasiurus,0
385,24,28,Mammal,Lasiurus cinereus,25,47.5,1.397940009,1.67669361,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Lasiurus,0
386,24,28,Mammal,Lavia frons,24,24,1.380211242,1.380211242,Ernest et al. 2003,Eutherian,Chiroptera,Megadermatidae,Lavia,0
387,24,28,Mammal,Macroderma gigas,137.467489,20.62012335,2.1382,1.314291259,"Hoyle et al.2001; after Duncan et al. 2007, method: count",Eutherian,Chiroptera,Megadermatidae,Macroderma,0
388,24,28,Mammal,Megaderma lyra,46,46,1.662757832,1.662757832,Ernest et al. 2003,Eutherian,Chiroptera,Megadermatidae,Megaderma,0
389,24,28,Mammal,Miniopterus schreibersi,11,11.0275,1.041392685,1.042477066,Ernest et al. 2003,Eutherian,Chiroptera,Miniopteridae,Miniopterus,0
390,24,28,Mammal,Molossus ater,32,32,1.505149978,1.505149978,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Molossus,0
391,24,28,Mammal,Molossus molossus,14,28,1.146128036,1.447158031,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Molossus,0
392,24,28,Mammal,Mops condylurus,28,56,1.447158031,1.748188027,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Mops,0
393,24,28,Mammal,Myotis albescens,5,15,0.698970004,1.176091259,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
394,24,28,Mammal,Myotis daubentoni,7,7,0.84509804,0.84509804,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
395,24,28,Mammal,Myotis lucifugus,8,8.024,0.903089987,0.90439092,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
396,24,28,Mammal,Myotis myotis,25,50,1.397940009,1.698970004,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
397,24,28,Mammal,Myotis nigricans,4,12,0.602059991,1.079181246,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
398,24,28,Mammal,Myotis thysanodes,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
399,24,28,Mammal,Myotis tricolor,14,14,1.146128036,1.146128036,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
400,24,28,Mammal,Myotis velifer,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Myotis,0
401,24,28,Mammal,Nyctalus noctula,28,33.88,1.447158031,1.529943402,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Nyctalus,0
402,24,28,Mammal,Nycteris macrotis,14,28,1.146128036,1.447158031,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,0
403,24,28,Mammal,Nycteris nana,7,7,0.84509804,0.84509804,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,0
404,24,28,Mammal,Nycteris thebaica,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Nycteridae,Nycteris,0
405,24,28,Mammal,Nyctimene rabori,68,68,1.832508913,1.832508913,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Nyctimene,0
406,24,28,Mammal,Nyctophilus gouldi,8,15.45,0.903089987,1.188928484,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Nyctophilus,0
407,24,28,Mammal,Peropteryx kappleri,9,9.477,0.954242509,0.976670881,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Peropteryx,0
408,24,28,Mammal,Phyllostomus hastatus,92,92,1.963787827,1.963787827,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Phyllostomus,0
409,24,28,Mammal,Pipistrellus ceylonicus,8,16,0.903089987,1.204119983,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,0
410,24,28,Mammal,Pipistrellus mimus,3,18,0.477121255,1.255272505,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,0
411,24,28,Mammal,Pipistrellus pipistrellus,6,7.647428572,0.77815125,0.883515429,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,0
412,24,28,Mammal,Pipistrellus subflavus,6,12,0.77815125,1.079181246,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Pipistrellus,0
413,24,28,Mammal,Plecotus auritus,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,0
414,24,28,Mammal,Plecotus rafinesquii,9,9,0.954242509,0.954242509,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,0
415,24,28,Mammal,Plecotus townsendii,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Plecotus,0
416,24,28,Mammal,Pteropus giganteus,804,804,2.905256049,2.905256049,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,0,
417,24,28,Mammal,Pteropus rodricensis,254,254,2.404833717,2.404833717,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Pteropus,0,
418,24,28,Mammal,Rhinolophus capensis,13,13,1.113943352,1.113943352,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
419,24,28,Mammal,Rhinolophus clivosus,16,16,1.204119983,1.204119983,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
420,24,28,Mammal,Rhinolophus euryale,8,8,0.903089987,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
421,24,28,Mammal,Rhinolophus ferrumequinum,21,21,1.322219295,1.322219295,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
422,24,28,Mammal,Rhinolophus fumigatus,13,13,1.113943352,1.113943352,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
423,24,28,Mammal,Rhinolophus hipposideros,5,5,0.698970004,0.698970004,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
424,24,28,Mammal,Rhinolophus rouxi,12,12,1.079181246,1.079181246,Ernest et al. 2003,Eutherian,Chiroptera,Rhinolophidae,Rhinolophus,0,
425,24,28,Mammal,Rhinonicteris aurantia,9,9,0.954242509,0.954242509,Ernest et al. 2003,Eutherian,Chiroptera,Hipposideridae,Rhinonicteris,0,
426,24,28,Mammal,Rhinopoma hardwickei,14,14,1.146128036,1.146128036,Ernest et al. 2003,Eutherian,Chiroptera,Rhinopomatidae,Rhinopoma,0,
427,24,28,Mammal,Rhinopoma microphyllum,28,28.051282,1.447158031,1.447952714,Ernest et al. 2003,Eutherian,Chiroptera,Rhinopomatidae,Rhinopoma,0,
428,24,28,Mammal,Rousettus aegyptiacus,148.6620099,59.46480396,2.1722,1.774259991,"Hennemann 1983; after Duncan et al. 2007, method: Cole 1954",Eutherian,Chiroptera,Pteropodidae,Rousettus,0,
429,24,28,Mammal,Rousettus amplexicaudatus,79,158,1.897627091,2.198657087,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Rousettus,0,
430,24,28,Mammal,Rousettus leschenaulti,97,195.5772329,1.986771734,2.291318297,Ernest et al. 2003,Eutherian,Chiroptera,Pteropodidae,Rousettus,0,
431,24,28,Mammal,Saccopteryx leptura,5,8,0.698970004,0.903089987,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Saccopteryx,0,
432,24,28,Mammal,Scotophilus heathi,35,70,1.544068044,1.84509804,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Scotophilus,0,
433,24,28,Mammal,Scotophilus kuhlii,23,46,1.361727836,1.662757832,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Scotophilus,0,
434,24,28,Mammal,Tadarida aegyptiaca,17,17,1.230448921,1.230448921,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Tadarida,0,
435,24,28,Mammal,Tadarida brasiliensis,12,12,1.079181246,1.079181246,Ernest et al. 2003,Eutherian,Chiroptera,Molossidae,Tadarida,0,
436,24,28,Mammal,Taphozous georgianus,28,28,1.447158031,1.447158031,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,0,
437,24,28,Mammal,Taphozous longimanus,27,54,1.431363764,1.73239376,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,0,
438,24,28,Mammal,Taphozous melanopogon,28,28,1.447158031,1.447158031,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,0,
439,24,28,Mammal,Taphozous nudiventris,34,34,1.531478917,1.531478917,Ernest et al. 2003,Eutherian,Chiroptera,Emballonuridae,Taphozous,0,
440,24,28,Mammal,Tylonycteris pachypus,4,7.68,0.602059991,0.88536122,Ernest et al. 2003,Eutherian,Chiroptera,Vespertilionidae,Tylonycteris,0,
441,24,28,Mammal,Uroderma bilobatum,17,34,1.230448921,1.531478917,Ernest et al. 2003,Eutherian,Chiroptera,Phyllostomidae,Uroderma,0,
442,24,X,Mammal,Sorex araneus,8.072350302,62.15709733,0.907,1.793490725,"Hannson 1987; after Duncan et al. 2007, method: count",Eutherian,Eulipotyphla,Soricidae,Sorex,3,
443,24,X,Mammal,Sorex araneus,8.072350302,43.59069163,0.907,1.63939376,"Marcstrom et al. 1990; after Duncan et al. 2007, method: count",Eutherian,Eulipotyphla,Soricidae,Sorex,3,
444,24,X,Mammal,Procavia capensis,3600,1451.933856,3.556302501,3.161946832,This Study,Eutherian,Hyracoidea,Procaviidae,Procavia,0,
445,24,X,Mammal,Sorex araneus,9.96,117.8585714,0.998259338,2.071361173,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,2,
446,24,X,Mammal,Crocidura hirta,13.67,67.42857143,1.135768515,1.828843959,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,0,
447,24,X,Mammal,Crocidura russula,11.63,131.5367308,1.065579715,2.119047044,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,0,
448,24,X,Mammal,Crocidura suaveolens,7.7,78.505,0.886490725,1.894897318,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Crocidura,0
449,24,X,Mammal,Echinops telfairi,180,247.2916667,2.255272505,2.393209482,Ernest et al. 2003,Eutherian,Insectivora,Tenrecidae,Echinops,0
450,24,X,Mammal,Erinaceus europaeus,771,1438.511964,2.887054378,3.157913478,Ernest et al. 2003,Eutherian,Insectivora,Erinaceidae,Erinaceus,0
451,24,X,Mammal,Neomys fodiens,14.32,99.216,1.155943018,1.996581714,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Neomys,0
452,24,X,Mammal,Scapanus townsendii,118.8,182.65,2.074816441,2.261619677,Ernest et al. 2003,Eutherian,Insectivora,Talpidae,Scapanus,0
453,24,X,Mammal,Sorex minutus,4.5,46.760625,0.653212514,1.669880307,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,0
454,24,X,Mammal,Sorex vagrans,5.73,79.75,0.758154622,1.901730692,Ernest et al. 2003,Eutherian,Insectivora,Soricidae,Sorex,0
455,24,X,Mammal,Talpa europaea,76.6,207.6687889,1.88422877,2.31737123,Ernest et al. 2003,Eutherian,Insectivora,Talpidae,Talpa,0
456,24,X,Mammal,Tenrec ecaudatus,868,4577.34375,2.938519725,3.660613528,Ernest et al. 2003,Eutherian,Insectivora,Tenrecidae,Tenrec,0
457,24,29,Mammal,Lepus americanus,1540.990637,3374.769495,3.1878,3.528244115,"MacLulich 1937; after Duncan et al. 2007, method: count",Eutherian,Lagomorpha,Leporidae,Lepus,5
